beta_abs,penalty_thresh,penalty_mag,vix_thresh,dd_thresh,bull_lambda,crisis_lambda,meta_ent,AnnRet,MaxDD,Sharpe,regime_0_pct,regime_1_pct,regime_2_pct,regime_3_pct,Pass
0.4,0.35,0.03,30,-0.1,0.05,0.3,0.02,0.28069424662132847,-0.09904034319430244,1.7528272467089536,0.4194407456724368,0.0,0.0,0.5805592543275633,True
0.4,0.35,0.03,28,-0.08,0.08,0.15,0.02,0.16974196763329585,-0.11308109312485615,1.1205446475217948,0.3355525965379494,0.0,0.6644474034620506,0.0,False
0.3,0.25,0.03,28,-0.12,0.03,0.2,0.05,0.17754287272093183,-0.10023831011987294,1.2270536070247264,0.0,0.0,0.5805592543275633,0.4194407456724368,False
0.3,0.15,0.02,30,-0.1,0.08,0.3,0.08,0.27860477329468214,-0.0993881761848352,1.7498344361949159,0.3355525965379494,0.08388814913448735,0.0,0.5805592543275633,True
0.2,0.15,0.02,30,-0.08,0.05,0.2,0.08,0.17346045867926918,-0.10425398132572761,1.1742304120140021,0.08388814913448735,0.25166444740346205,0.6644474034620506,0.0,False
0.5,0.15,0.02,26,-0.1,0.1,0.15,0.08,0.18101369973616088,-0.09873141547989295,1.2505049781998359,0.08388814913448735,0.0,0.9161118508655126,0.0,True
0.2,0.15,0.02,30,-0.08,0.03,0.15,0.05,0.17120310894957513,-0.11040632270464623,1.140684598131314,0.5872170439414115,0.1677762982689747,0.24500665778961384,0.0,False
0.5,0.25,0.01,26,-0.08,0.08,0.2,0.02,0.1992146227005498,-0.11757738729103584,1.2653734302728685,1.0,0.0,0.0,0.0,False
0.4,0.35,0.01,30,-0.08,0.1,0.3,0.05,0.17546703070552994,-0.10650417542497503,1.1718924872837546,0.0,0.1677762982689747,0.0,0.8322237017310253,False
0.4,0.15,0.01,28,-0.08,0.08,0.2,0.08,0.1770857530713308,-0.10992702640850249,1.1759275563413876,0.5033288948069241,0.0,0.4966711051930759,0.0,False
0.3,0.15,0.02,30,-0.1,0.03,0.2,0.08,0.2842118576611563,-0.0989494529945193,1.7633810952490514,0.4194407456724368,0.0,0.0,0.5805592543275633,True
0.2,0.25,0.02,30,-0.12,0.1,0.15,0.02,0.18354020027486917,-0.09866758150986565,1.2962318906124979,0.0,0.08388814913448735,0.0,0.9161118508655126,True
0.5,0.35,0.03,26,-0.1,0.1,0.2,0.02,0.1803443963075,-0.09873141547989295,1.2338990707831652,0.24500665778961384,0.0,0.7549933422103862,0.0,True
0.3,0.15,0.01,28,-0.1,0.08,0.15,0.05,0.1815604839583711,-0.09873141547989295,1.2379584282168639,0.0,0.0,0.9161118508655126,0.08388814913448735,True
0.3,0.35,0.03,30,-0.08,0.08,0.3,0.02,0.17030665614604912,-0.1125888320616999,1.0939823308970245,0.0,1.0,0.0,0.0,False
0.3,0.35,0.02,26,-0.08,0.03,0.3,0.02,0.2026523268991436,-0.12052516515448053,1.2733865347133524,1.0,0.0,0.0,0.0,False
0.4,0.25,0.01,30,-0.12,0.05,0.2,0.05,0.1773830130388634,-0.09844186307943825,1.2517879287547007,0.08388814913448735,0.0,0.0,0.9161118508655126,True
0.5,0.25,0.02,30,-0.08,0.05,0.15,0.05,0.1717560412496384,-0.10425398132572805,1.1538006785657795,0.0,0.3355525965379494,0.6644474034620506,0.0,False
0.5,0.25,0.03,28,-0.1,0.08,0.2,0.05,0.19378985539349136,-0.10764203615409285,1.29130151102114,0.0,0.0,0.5805592543275633,0.4194407456724368,False
0.4,0.15,0.02,30,-0.1,0.05,0.3,0.08,0.2750699419087299,-0.09904034319430244,1.730438401433901,0.3355525965379494,0.0,0.08388814913448735,0.5805592543275633,True
